Day of Week,Hour of Day,commentCount,likeCount
Tuesday,3,7.333333333333333,582.6666666666666
Wednesday,13,5.108695652173913,16.934782608695652
Wednesday,4,5.0,286.6666666666667
Friday,15,4.8,5.2
Sunday,15,4.565217391304348,4.3478260869565215
Friday,5,4.0,169.08333333333334
Friday,13,3.96875,3.265625
Saturday,13,3.9444444444444446,3.6296296296296298
Sunday,17,3.3333333333333335,8.416666666666666
Sunday,4,3.1818181818181817,62.27272727272727
Thursday,0,3.1666666666666665,26.0
Thursday,10,3.08,332.16
Sunday,2,3.0,413.06666666666666
Tuesday,10,3.0,33.09090909090909
Wednesday,3,3.0,33.166666666666664
Tuesday,6,3.0,141.0
Sunday,23,2.8,110.4
Monday,11,2.5,36.3
Friday,16,2.5,12.0
Wednesday,2,2.5,14.25
Monday,22,2.4,4.0
Thursday,22,2.3333333333333335,2.0
Thursday,21,2.3333333333333335,6.0
Saturday,16,2.3076923076923075,7.769230769230769
Saturday,9,2.25,9.5
Monday,17,2.25,10.5
Tuesday,15,2.2,4.6
Thursday,6,2.1739130434782608,22.391304347826086
Tuesday,16,2.125,6.125
Saturday,3,2.0,81.42857142857143
Monday,15,2.0,8.5
Monday,4,1.9166666666666667,22.083333333333332
Saturday,14,1.88,4.6
Thursday,7,1.7857142857142858,15.714285714285714
Saturday,11,1.7777777777777777,41.77777777777778
Thursday,1,1.75,4.75
Friday,10,1.7142857142857142,35.857142857142854
Monday,2,1.6666666666666667,8.666666666666666
Thursday,12,1.6333333333333333,13.566666666666666
Saturday,10,1.625,27.0625
Friday,12,1.5555555555555556,20.11111111111111
Monday,16,1.5454545454545454,4.454545454545454
Tuesday,17,1.5454545454545454,4.545454545454546
Friday,21,1.5,6.833333333333333
Sunday,18,1.5,4.0
Saturday,12,1.3636363636363635,18.363636363636363
Saturday,8,1.3333333333333333,10.0
Wednesday,14,1.3333333333333333,29.916666666666668
Wednesday,23,1.3333333333333333,4.666666666666667
Tuesday,23,1.3333333333333333,24.666666666666668
Sunday,13,1.2857142857142858,21.571428571428573
Friday,1,1.2857142857142858,11.428571428571429
Tuesday,8,1.25,2.0
Friday,18,1.2222222222222223,5.555555555555555
Saturday,4,1.2,28.8
Tuesday,4,1.2,25.0
Thursday,5,1.1875,35.8125
Sunday,8,1.1666666666666667,9.333333333333334
Wednesday,15,1.1428571428571428,10.607142857142858
Wednesday,17,1.1428571428571428,6.0
Saturday,17,1.0769230769230769,12.461538461538462
Saturday,7,1.0714285714285714,10.5
Tuesday,0,1.0,14.666666666666666
Sunday,6,1.0,8.875
Sunday,16,1.0,6.125
Wednesday,21,1.0,12.0
Sunday,14,1.0,5.714285714285714
Monday,23,1.0,3.6
Wednesday,7,1.0,17.761904761904763
Sunday,10,1.0,6.5
Sunday,20,1.0,8.8
Sunday,7,1.0,10.375
Friday,22,1.0,23.0
Wednesday,0,1.0,10.0
Monday,0,1.0,12.5
Friday,11,1.0,10.25
Monday,20,1.0,0.0
Saturday,0,1.0,20.0
Thursday,13,1.0,10.142857142857142
Monday,14,0.9444444444444444,8.277777777777779
Thursday,8,0.9,24.35
Friday,4,0.8888888888888888,7.833333333333333
Tuesday,14,0.8888888888888888,33.666666666666664
Wednesday,10,0.875,4.625
Thursday,11,0.8695652173913043,15.08695652173913
Monday,9,0.8666666666666667,13.866666666666667
Thursday,23,0.8571428571428571,5.285714285714286
Saturday,20,0.8571428571428571,3.142857142857143
Sunday,9,0.8333333333333334,14.166666666666666
Wednesday,11,0.7916666666666666,11.791666666666666
Thursday,14,0.7741935483870968,9.193548387096774
Thursday,9,0.7741935483870968,8.580645161290322
Monday,13,0.7619047619047619,4.0476190476190474
Saturday,1,0.75,21.25
Tuesday,9,0.7222222222222222,7.444444444444445
Saturday,5,0.7142857142857143,20.428571428571427
Monday,10,0.7142857142857143,17.38095238095238
Thursday,19,0.7037037037037037,7.37037037037037
Wednesday,8,0.7,41.0
Wednesday,9,0.6923076923076923,15.153846153846153
Thursday,16,0.6666666666666666,9.916666666666666
Thursday,3,0.65,11.05
Tuesday,18,0.631578947368421,2.3157894736842106
Sunday,19,0.6,4.0
Tuesday,20,0.6,2.6
Sunday,3,0.6,17.0
Wednesday,6,0.5833333333333334,4.666666666666667
Monday,12,0.5714285714285714,4.285714285714286
Thursday,2,0.5555555555555556,7.444444444444445
Thursday,15,0.5333333333333333,7.266666666666667
Monday,8,0.5333333333333333,11.8
Saturday,6,0.5,5.875
Friday,17,0.5,4.833333333333333
Monday,3,0.5,28.5
Wednesday,1,0.5,15.25
Monday,6,0.5,16.833333333333332
Saturday,2,0.5,9.5
Monday,7,0.5,14.0
Sunday,1,0.5,13.0
Saturday,18,0.5,3.875
Thursday,17,0.5,4.583333333333333
Tuesday,13,0.4666666666666667,5.733333333333333
Wednesday,19,0.4423076923076923,2.230769230769231
Tuesday,11,0.4,6.04
Friday,3,0.37037037037037035,6.62962962962963
Monday,5,0.3333333333333333,9.555555555555555
Friday,9,0.3333333333333333,32.666666666666664
Thursday,4,0.3157894736842105,10.842105263157896
Sunday,5,0.3076923076923077,4.3076923076923075
Friday,20,0.3076923076923077,2.230769230769231
Friday,7,0.3,32.0
Monday,21,0.3,4.9
Thursday,20,0.3,4.6
Tuesday,19,0.2857142857142857,13.285714285714286
Wednesday,16,0.25,8.25
Wednesday,12,0.25,13.916666666666666
Wednesday,5,0.25,15.0
Friday,0,0.25,11.083333333333334
Saturday,15,0.25,5.25
Tuesday,1,0.25,12.75
Monday,1,0.25,5.5
Friday,6,0.20930232558139536,8.255813953488373
Monday,19,0.2,6.0
Wednesday,22,0.2,1.4
Wednesday,20,0.2,4.266666666666667
Tuesday,7,0.2,20.8
Sunday,12,0.18181818181818182,8.636363636363637
Sunday,21,0.16666666666666666,10.666666666666666
Friday,2,0.15,10.2
Sunday,11,0.14285714285714285,5.428571428571429
Monday,18,0.125,3.625
Tuesday,5,0.1111111111111111,6.222222222222222
Friday,8,0.1,8.1
Thursday,18,0.07692307692307693,2.6923076923076925
Friday,23,0.044444444444444446,0.17777777777777778
Friday,14,0.043478260869565216,3.5217391304347827
Sunday,0,0.0,4.4
Saturday,19,0.0,2.25
Sunday,22,0.0,7.0
Friday,19,0.0,4.0
Wednesday,18,0.0,1.8571428571428572
Tuesday,2,0.0,15.8
Tuesday,12,0.0,6.6
